label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,avg_inst_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec,cv_inst_exec
floor,2048,9852828,5352598,7783513,502318,41,0.08691993086492766,0.10638675095266051,0.3338070146472279,0.04593170715669187,0.120797350964332
floor,4096,9689874,20501013,6577837,458695,41,0.07200983558688157,0.027692397229833406,0.027106416650429437,0.13084986856851746,0.013968151673942558
floor,8192,10423837,86463447,6592318,480449,45,0.08046850917190021,0.05439323340111851,0.029319874302489085,0.020526081528421322,0.05879447357921313
reduce_sum,64,10742734,18231,6955949,536393,25,0.20821432341880886,0.48851389634672643,0.12551174405052834,0.2571198258563062,0.022494166332063338
reduce_sum,128,14569938,34280,9629569,472742,31,0.49587844190149144,0.4874456077108719,0.4888056872648867,0.0668352811669497,0.05587260669577023
reduce_sum,256,9402720,80434,7343786,511368,64,0.024698826938914308,0.11974351092856837,0.10314971640489233,0.18738078868841482,0.9434679584982917
reduce_sum,512,11321191,333762,7391879,546723,32,0.19610781655896983,0.2623981652064781,0.1221348773062418,0.2864146477476116,0.12499335724723856
reduce_sum,1024,9738562,1005094,7674587,438787,25,0.06736125534604463,0.11000878251576955,0.013216684593091436,0.13855166789992676,0.1252422176752332
reduce_sum,2048,10122556,4538025,7504687,467791,56,0.006369917360544588,0.08422502162392748,0.23474356869073823,0.03526532045856393,0.882619882589814
reduce_sum,4096,10137041,15370916,7902854,435113,26,0.06509250980325469,0.028496008849322317,0.17458550311501006,0.11346811749309502,0.17625291134445537
reduce_sum,8192,9692663,59369925,7219574,419118,25,0.08132103762247171,0.0012076668602659683,0.09613471741629216,0.09612605777770504,0.12059409723568001
argmax,64,10353574,30843,8683630,582640,43,0.023857291537300554,0.18726450903127503,0.13268899891848265,0.31045176444388434,0.5348837209302325
argmax,128,10108336,80971,9143325,499224,22,0.14195072281654286,0.09447384867239411,0.3350758248910543,0.08240607761498268,0.11268409604881716
argmax,256,9931909,381627,7652798,647358,21,0.10558426422248231,0.43864943507488213,0.0786618190494291,0.46321957305395933,0.16461958988832404
argmax,512,11939595,1306288,7195011,464454,26,0.20195959667237776,0.04715503839349727,0.09728016561808477,0.07135102688669251,0.28502101896703047
argmax,1024,9903700,4580861,7752215,624639,20,0.04323143377459443,0.11013056396280758,0.0859950648559032,0.2439141729787631,0.13228756555322954
argmax,2048,9867625,18782746,7843537,476836,21,0.05795385258088415,0.10411967452407495,0.19238730928837708,0.005629517838808684,0.05412658773652741
argmax,4096,9719685,71355691,8213844,517295,22,0.04824813683899193,0.09323732791492205,0.2781999306923941,0.1326442284228899,0.12026142323020866
argmax,8192,9806319,303195359,7878831,425640,20,0.04093283641505872,0.00040208073447146577,0.1858447629265397,0.11639604462621846,0.028394275533916023
global_average_pool,64,10967737,75588,10753476,1316406,101,0.06728072301004635,0.16294706984486496,0.17526210068597461,0.013149516343678613,0.06022537158711108
global_average_pool,128,10819929,242140,13342867,1334723,105,0.053600793140509334,0.0261422484702427,0.384404147117996,0.03419775196888473,0.061035764310082
global_average_pool,256,12385908,1013839,12299877,1332482,99,0.22952405812049265,0.1622377104506618,0.17850782902802165,0.011558975627502105,0.06372093271992525
global_average_pool,512,11637907,3475194,15734890,1397251,97,0.06342528161178458,0.007867955441053962,0.24998356727882412,0.09980589111299577,0.01186336169567724
global_average_pool,1024,11465413,14053091,12102220,1311779,102,0.0275662393550996,0.012846010251424476,0.14182397973011474,0.018826637035804016,0.04392126382619702
global_average_pool,2048,11591659,54492370,12048091,1469961,94,0.016946837222926434,0.008462307997544232,0.012388071705771386,0.2762914473396543,0.12268683611351912
global_average_pool,4096,11795731,214933183,13415807,1470403,99,0.03925806133393518,3.695158551385352e-05,0.1974982139576728,0.16971791073360978,0.053449521435648295
global_average_pool,8192,11711104,712164223,12463165,1307909,94,0.02373943865627897,0.008289496084843194,0.16916350917975972,0.015720310856489016,0.13786459120036543
not,64,12538110,2254,12885063,1007484,72,0.12283417166066304,0.2702059596120706,0.14924151916424108,0.002039979011042111,0.03192720382615442
not,128,11409475,3053,14044542,1200878,74,0.26295270191042164,0.1628988451430748,0.3733078133171395,0.3001114386169164,0.17834807460212657
not,256,10528512,6878,12385744,1019626,72,0.11663479865404142,0.07562811347273003,0.018079453959906414,0.012305220364194394,0.06364688465216445
not,512,16688061,44639,13856030,944061,81,0.3907260066402433,0.6300584148034506,0.20966366013261328,0.09556620836821822,0.2120084779734027
not,1024,9979146,76378,12094317,1084652,70,0.11596316411107256,0.03100870221117395,0.1453471114781166,0.14742768653102462,0.05150787536377127
not,2048,9852658,407087,17661520,1011928,80,0.01885180428278208,0.024075731200922906,0.4909407350651189,0.0031219281737196705,0.03119766295566425
not,4096,10284484,1974942,12200572,990146,100,0.02894403866553,0.006202133297174696,0.07920861700368258,0.13238089039567338,0.586120776070874
not,8192,9490920,7926548,13681298,1032670,65,0.0422957436579721,0.0018666395646151552,0.19246632169821765,0.10192585558851291,0.13304916164549396
average_pool,64,10597987,19144,16192700,1447491,92,0.015493100942133164,0.330211565878606,0.06836262117140408,0.12401812595930939,0.794117157260821
average_pool,128,10963783,33428,15886197,1427322,55,0.1225323190975448,0.22013137461986648,0.13835022122761348,0.1108586871589565,0.0655554777357089
average_pool,256,10147353,100750,15233595,1422798,46,0.060691305719702306,0.23169508680328654,0.004359728250066116,0.1521665839571867,0.13942300925673667
average_pool,512,10078983,347247,15324267,1391319,41,0.12578722903794579,0.06850212172231993,0.012215319903263343,0.10413132325830107,0.027936303347885116
average_pool,1024,10144072,1444976,15859178,1370473,45,0.011904767597754839,0.01094720706042642,0.08463518806596566,0.09993084093815453,0.06739081904346823
average_pool,2048,11595416,6996493,16794453,1612449,49,0.04702453346520157,0.047205179580593844,0.06315606820786673,0.22835421701090702,0.07358267909110182
average_pool,4096,11739291,24824139,15503077,1681332,50,0.06240756351070935,0.10356188516951578,0.021534307364310577,0.08213619228968429,0.0499989035448394
average_pool,8192,11562719,94250579,15370787,1417616,43,0.03897945181533366,0.05828152826235855,0.09186208277454617,0.1250206702284714,0.08127664151569512
prelu,64,9382183,35237,8507788,437453,17,0.05127606201283638,0.10459751145260349,0.16727197665740784,0.005433812719663666,0.1178301509131773
prelu,128,13613647,158959,7507396,623431,21,0.23032872361421297,0.29064900861030224,0.182747164287466,0.10703800612186742,0.21137108216357317
prelu,256,12475745,496678,7583349,756914,18,0.2276448569486944,0.10275424274995135,0.1865462759060296,0.5070405938433066,0.08331955809010619
prelu,512,10231132,1842088,7901964,579094,19,0.05905119268364717,0.012395484930402092,0.22553552598564794,0.08190629272099462,0.19582442571725084
prelu,1024,10740218,6848781,11383700,525132,21,0.01184065321796177,0.10367092212273898,0.5173161408345107,0.16374908362814378,0.12598815766974242
prelu,2048,10332245,25757990,7288745,614888,21,0.04084530316857558,0.09325495447357361,0.0665797959504193,0.3724187807431932,0.21821789023599236
prelu,4096,10430955,112951803,8657023,522821,22,0.05109985641774857,0.02916769831851619,0.16582786401327446,0.14860690688611222,0.02585150459058026
prelu,8192,10233191,413678234,8545679,640327,21,0.05207195909412705,0.10908508951877756,0.19510445217071376,0.3023342279883981,0.047619047619047616
range,1,11385920,9159,9589953,144600,20,0.18185256939817185,0.16694933338106527,0.5282875515265605,0.43528977478944786,0.1502483834411751
identity,64,9615301,2981,5964676,461813,23,0.06661861532353061,0.13530518808393072,0.14619182266324035,0.21931717275441623,0.06546536707079773
identity,128,9365664,3754,6857966,395088,22,0.032368641000255466,0.05553140706993857,0.005906257579767959,0.4345697608248298,0.11102697698927572
identity,256,10871153,14981,6489415,390457,23,0.1109183337344214,0.374061891481942,0.09735921622658034,0.16738696402262448,0.13043478260869565
